TERM1	INTERACTION	TERM2	KAPPA_SIMILARITY
GO:0002694	kappa	GO:0030674	0.046
GO:0002694	kappa	GO:0004930	0.0066
GO:0002694	kappa	GO:0006937	0.0042
GO:0002694	kappa	GO:0005923	-0.012
GO:0002694	kappa	GO:0043296	-0.0076
GO:0002694	kappa	GO:0008528	-0.0013
GO:0002694	kappa	GO:0019199	-8e-04
GO:0002694	kappa	GO:0060089	0.1
GO:0002694	kappa	GO:0044459	0.086
GO:0002694	kappa	GO:0030595	0.097
GO:0002694	kappa	GO:0034330	0.016
GO:0002694	kappa	GO:0031589	0.053
GO:0002694	kappa	GO:0005578	-0.0076
GO:0002694	kappa	GO:0002684	0.5
GO:0002694	kappa	GO:0022603	-0.016
GO:0002694	kappa	GO:0009986	0.14
GO:0002694	kappa	GO:0042692	0.038
GO:0002694	kappa	GO:0040012	0.079
GO:0002694	kappa	GO:0043410	0.092
GO:0002694	kappa	GO:0070374	0.071
GO:0002694	kappa	GO:0022612	0.032
GO:0030335	kappa	GO:0016064	0.027
GO:0030335	kappa	GO:0009897	0.093
GO:0030335	kappa	GO:0004896	0.046
GO:0030335	kappa	GO:0051410	-0.0023
GO:0030335	kappa	GO:0018212	0.22
GO:0030335	kappa	GO:0005604	0.0054
GO:0030335	kappa	GO:0022610	0.19
GO:0030335	kappa	GO:0006956	0.0065
GO:0030335	kappa	GO:0007160	0.18
GO:0030335	kappa	GO:0006958	0.0082
GO:0030335	kappa	GO:0044057	0.096
GO:0030335	kappa	GO:0034332	0.12
GO:0030335	kappa	GO:0007155	0.19
GO:0030335	kappa	GO:0009743	0.069
GO:0030335	kappa	GO:0045177	0.0097
GO:0030335	kappa	GO:0046903	0.054
GO:0030335	kappa	GO:0045667	0.15
GO:0030335	kappa	GO:0031252	0.095
GO:0030335	kappa	GO:0002443	0.089
GO:0030335	kappa	GO:0070161	0.065
GO:0030335	kappa	GO:0001763	0.13
GO:0030335	kappa	GO:0050707	0.081
GO:0030335	kappa	GO:0019932	0.084
GO:0030335	kappa	GO:0051272	0.96
GO:0030335	kappa	GO:0048870	0.38
GO:0030335	kappa	GO:0006935	0.25
GO:0030335	kappa	GO:0005516	0.0077
GO:0030335	kappa	GO:0006874	0.13
GO:0030335	kappa	GO:0005886	0.025
GO:0030335	kappa	GO:0050776	0.078
GO:0030335	kappa	GO:0031012	0.028
GO:0030335	kappa	GO:0019955	0.065
GO:0030335	kappa	GO:0004867	-0.0087
GO:0030335	kappa	GO:0050900	0.3
GO:0030335	kappa	GO:0004872	0.057
GO:0030335	kappa	GO:0055002	0.089
GO:0030335	kappa	GO:0042330	0.25
GO:0030335	kappa	GO:0002682	0.12
GO:0030335	kappa	GO:0005509	-0.004
GO:0030335	kappa	GO:0003013	0.1
GO:0030335	kappa	GO:0055001	0.085
GO:0030335	kappa	GO:0002009	0.11
GO:0030335	kappa	GO:0016324	0.025
GO:0030335	kappa	GO:0030054	0.053
GO:0030335	kappa	GO:0009581	-0.019
GO:0030335	kappa	GO:0002429	0.083
GO:0030335	kappa	GO:0015026	-0.0059
GO:0030335	kappa	GO:2000147	0.99
GO:0030335	kappa	GO:0060326	0.35
GO:0030335	kappa	GO:0005911	0.05
GO:0030335	kappa	GO:0044420	0.0018
GO:0030335	kappa	GO:0004888	0.08
